,region,price,details
0,"Gambir, Jakarta Pusat",Rp 3.900.000.000,3 KT - 2 KM - 169 m2
1,"Kemayoran, Jakarta Pusat",Rp 1.450.000.000,3 KT - 2 KM - 160 m2
2,"Gambir, Jakarta Pusat",Rp 11.100.000.000,&gt;10 KT - 8 KM - 720 m2
3,"Kemayoran, Jakarta Pusat",Rp 485.000.000,2 KT - 1 KM - 35 m2
4,"Tanjung Priok, Jakarta Utara",Rp 5.600.000.000,6 KT - 5 KM - 240 m2
5,"Taman Sari, Jakarta Barat",Rp 3.000.000.000,&gt;10 KT - 5 KM - 180 m2
6,"Penjaringan, Jakarta Utara",Rp 2.500.000.000,4 KT - 3 KM - 150 m2
7,"Tanjung Priok, Jakarta Utara",Rp 3.500.000.000,6 KT - 5 KM - 312 m2
8,"Tanjung Priok, Jakarta Utara",Rp 2.200.000.000,4 KT - 4 KM - 127 m2
9,"Taman Sari, Jakarta Barat",Rp 7.500.000.000,6 KT - 4 KM - 540 m2
10,"Kemayoran, Jakarta Pusat",Rp 1.425.000.000,3 KT - 3 KM - 81 m2
11,"Sawah Besar, Jakarta Pusat",Rp 364.000.000,2 KT - 1 KM - 38 m2
12,"Kemayoran, Jakarta Pusat",Rp 1.665.000.000,4 KT - 4 KM - 100 m2
13,"Gambir, Jakarta Pusat",Rp 1.746.000.000,4 KT - 4 KM - 110 m2
14,"Tanjung Priok, Jakarta Utara",Rp 5.500.000.000,3 KT - 2 KM - 190 m2
15,"Kemayoran, Jakarta Pusat",Rp 14.000.000.000,7 KT - 6 KM - 900 m2
16,"Tanjung Priok, Jakarta Utara",Rp 3.100.000.000,4 KT - 4 KM - 215 m2
17,"Tanjung Priok, Jakarta Utara",Rp 8.500.000.000,7 KT - 5 KM - 300 m2
18,"Kemayoran, Jakarta Pusat",Rp 10.000.000.000,&gt;10 KT - &gt;10 KM - 800 m2
19,"Tanjung Priok, Jakarta Utara",Rp 9.000.000.000,3 KT - 3 KM - 430 m2
20,"Kemayoran, Jakarta Pusat",Rp 400.000.000,2 KT - 1 KM - 36 m2
21,"Kemayoran, Jakarta Pusat",Rp 435.000.000,2 KT - 1 KM - 42 m2
22,"Kemayoran, Jakarta Pusat",Rp 400.000.000,2 KT - 1 KM - 40 m2
23,"Taman Sari, Jakarta Barat",Rp 4.949.999.999,&gt;10 KT - &gt;10 KM - 351 m2
24,"Tanjung Priok, Jakarta Utara",Rp 4.900.000.000,5 KT - 4 KM - 380 m2
25,"Tanjung Priok, Jakarta Utara",Rp 4.500.000.000,4 KT - 3 KM - 240 m2
26,"Tanjung Priok, Jakarta Utara",Rp 4.200.000.000,5 KT - 3 KM - 230 m2
27,"Tanjung Priok, Jakarta Utara",Rp 5.300.000.000,4 KT - 4 KM - 260 m2
28,"Penjaringan, Jakarta Utara",Rp 2.000.000.000,3 KT - 2 KM - 76 m2
29,"Tanjung Priok, Jakarta Utara",Rp 5.200.000.000,5 KT - 3 KM - 148 m2
30,"Tanjung Priok, Jakarta Utara",Rp 4.000.000.000,4 KT - 3 KM - 141 m2
31,"Tanjung Priok, Jakarta Utara",Rp 4.200.000.000,4 KT - 3 KM - 190 m2
32,"Tanjung Priok, Jakarta Utara",Rp 4.600.000.000,6 KT - 6 KM - 340 m2
