perumahan,kota,latitude,longitude
Bintaro Jaya Sektor 2,Jakarta Selatan,-6.27810835,106.7521823978
Buaran Regency,Jakarta Timur,-6.2321166,106.9250933
Casa Permata Hijau,Jakarta Selatan,-6.221427,106.7832498
Cempaka Residence,Jakarta Selatan,-6.2918284,106.7779469
Green Lake City,Jakarta Barat,-6.1774769,106.71127
Green Lontar,Jakarta Selatan,-6.3646906,106.7982526
Griya Sadar 2,Jakarta Selatan,-6.3310086,106.812809
Madja Residence,Jakarta Selatan,-6.2668151,106.7988886
Nusa Indah Residence Jagakarsa,Jakarta Selatan,-6.3299483,106.8194226
Perdatam Raya,Jakarta Selatan,-6.2494708,106.8428383
Permata Residence Jagakarsa,Jakarta Selatan,-6.29994455,106.84108095
Pesona Fajar Ciracas,Jakarta Timur,-6.31446225,106.876708521161
Pondok Kelapa Village,Jakarta Timur,-6.2384157,106.9407183
Puri Palem Indah,Jakarta Selatan,-6.2749874,106.7624953
River Valley Residence,Jakarta Selatan,-6.3004577,106.7723961
Rukem Jaya,Jakarta Timur,-6.179242,106.9622276
Setu Indah,Jakarta Timur,-6.3179765,106.91508281094
The Royal Residence,Jakarta Timur,-6.1961427,106.9608904
Tni Ad,Jakarta Timur,-6.25895175,106.89236785657
Villa Pratama Pesanggrahan,Jakarta Selatan,-6.2363983,106.7558844
101 Residence,Jakarta Selatan,-6.30651645,106.807300209863
7h Residence,Jakarta Timur,-6.3116895,106.8726692
8th Residence,Jakarta Timur,-6.3116895,106.8726692
99 Residence,Jakarta Selatan,-6.30651645,106.807300209863
Abadi,Jakarta Timur,-6.3153854,106.8912165
Agung 88 Residence,Jakarta Selatan,-6.2061589,106.837386324195
Agung Barat,Jakarta Utara,-6.1413062,106.8599106
Agung Melati Residence,Jakarta Selatan,-6.32254815,106.8393631
Agung Perkasa,Jakarta Utara,-6.1406501,106.8724094
Agung Permai,Jakarta Utara,-6.1398783,106.8648791
Akbar Residence,Jakarta Timur,-6.3525709,106.8951608
Al Pangkalan Jati,Jakarta Selatan,-6.3209262,106.7937
Alam Aselih Residence,Jakarta Selatan,-6.3484148,106.7966164
Alam Asri,Jakarta Selatan,-6.2774872,106.7807457
Alam Segar,Jakarta Selatan,-6.2693072,106.7793705
Alexandria 2,Jakarta Timur,-6.3428017,106.887478
Alexandria Cipayung,Jakarta Timur,-6.3428017,106.887478
Alexandria City,Jakarta Timur,-6.3428017,106.887478
Alkesa Residence,Jakarta Selatan,-6.3330732,106.8286748
Ambasador Park,Jakarta Selatan,-6.2238717,106.826879492738
Ampera Jakarta Selatan,Jakarta Selatan,-6.2805613,106.8197315
Ancol Timur,Jakarta Utara,-6.125805,106.8517536
Aneka Elok,Jakarta Timur,-6.2228757,106.8907055
Angkasa Pura,Jakarta Pusat,-6.157488,106.8542418
Angkatan Darat Jatiwaringin,Jakarta Timur,-6.30715805,106.879912796617
Annur Residence,Jakarta Selatan,-6.31997795,106.817996429837
Antasari Residence,Jakarta Selatan,-6.3016146,106.803564
Arden Residence,Jakarta Selatan,-6.30651645,106.807300209863
Arlin Indah,Jakarta Timur,-6.2208533,106.9213866
Arsa Residence,Jakarta Timur,-6.2750737,106.841520119639
Artha Kencana,Jakarta Timur,-6.3364163,106.9043327
Arwana Residence,Jakarta Utara,-6.1397438,106.795461
Aselih Hill,Jakarta Selatan,-6.3528875,106.8002643
Asem Baris,Jakarta Selatan,-6.2336733,106.859947
Asri Munjul,Jakarta Timur,-6.3423276,106.9125334
Asuransi,Jakarta Timur,-6.2297883,106.8744147
Asya,Jakarta Timur,-6.1461376,106.7326495
Atmaya Residence,Jakarta Selatan,-6.2811227,106.8087451
Auri,Jakarta Pusat,-6.1860298,106.8154102
Bagus Residence,Jakarta Selatan,-6.3025848,106.8355604
Bahtera Permai,Jakarta Utara,-6.1083311,106.7576568
Baladewa Residence,Jakarta Timur,-6.2284236,106.9101081
Bamboo Residence,Jakarta Selatan,-6.2185042,106.8259285
Bambu Apus Village,Jakarta Timur,-6.31379215,106.900130113192
Bambu Hijau Residence,Jakarta Timur,-6.3250498,106.9048148
Bambu Petung Residence,Jakarta Timur,-6.3225272,106.9044886
Bambu Wulung,Jakarta Timur,-6.318313,106.905266
Bangdes,Jakarta Selatan,-6.2706899,106.8457891
Bangun Cipta,Jakarta Timur,-6.2933202,106.8748886
Bangun Cipta Sarana,Jakarta Timur,-6.1734257,106.9075585
Bangun Cipta Sarana,Jakarta Utara,-6.1734257,106.9075585
Bank,Jakarta Selatan,-6.28381815,106.804863491948
Bank Mandiri,Jakarta Selatan,-6.2436773,106.8036157
Bappenas,Jakarta Selatan,-6.2265168,106.8210035
Basuki Residence,Jakarta Timur,-6.2248454,106.8687281
Batan,Jakarta Selatan,-6.2964127,106.8396565
Batavia,Jakarta Selatan,-6.28381815,106.804863491948
Batu Ampar Condet,Jakarta Timur,-6.27976635,106.857788309184
Batu Ampar Residence,Jakarta Timur,-6.2785032,106.8623521
Batu Belah,Jakarta Selatan,-6.3480572,106.8078935
Batu Ceper,Jakarta Pusat,-6.1630756,106.8200452
Batu Residence,Jakarta Selatan,-6.2265161,106.8418762
Batu Tulis,Jakarta Pusat,-6.1637539,106.8267691
Bcs Golf Rawamangun,Jakarta Timur,-6.20028015,106.876617646834
Bdn,Jakarta Barat,-6.157943,106.774520233634
Bea Cukai,Jakarta Timur,-6.204538,106.878132668103
Bea Cukai,Jakarta Utara,-6.124499,106.8103595
Belimbing Residence,Jakarta Selatan,-6.3330724,106.8243272
Benda,Jakarta Selatan,-6.2790645,106.8146047
Benhil,Jakarta Pusat,-6.2094589,106.8123667
Berlian Ciganjur Residence,Jakarta Selatan,-6.2968967,106.8005326
Bermis Gading,Jakarta Utara,-6.1781942,106.8987496
Bhakti Cilandak,Jakarta Selatan,-6.3071671,106.8082945
Bhineka Residence,Jakarta Timur,-6.3203311,106.8750282
Bhinneka,Jakarta Timur,-6.2982203,106.8938706
Billy Moon,Jakarta Timur,-6.2480321,106.9291752
Bina Marga,Jakarta Selatan,-6.2531871,106.7791573
Bina Marga,Jakarta Timur,-6.3185776,106.8904253
Bintaro Paradise,Jakarta Selatan,-6.2682262,106.7648364
Blok M,Jakarta Selatan,-6.2445645,106.7982385
Blossom Residence,Jakarta Utara,-6.1508033,106.8547527
Bni 46,Jakarta Barat,-6.1669464,106.795798559839
Bni 46,Jakarta Selatan,-6.20837665,106.8439853
Bojong Indah,Jakarta Barat,-6.1597769,106.7372417
Bojong Residence,Jakarta Barat,-6.161271,106.7320292
Bona Indah Garden,Jakarta Selatan,-6.3005918,106.78273978034
Bonavista Residence,Jakarta Selatan,-6.2976718,106.7832141
Bpk,Jakarta Barat,-6.1723422,106.787855176042
Bpk Ii,Jakarta Barat,-6.1723422,106.787855176042
Bpk Iii,Jakarta Barat,-6.1954387,106.7700242
Bpkp Rawasari,Jakarta Pusat,-6.1921741,106.8740372
Bpp,Jakarta Utara,-6.124969,106.919576
Bps,Jakarta Timur,-6.23340425,106.938987468978
Bri,Jakarta Selatan,-6.28381815,106.804863491948
Brigif Kalisari,Jakarta Timur,-6.3441501,106.8020981
Btn,Jakarta Barat,-6.1310822,106.7340446
Buaran,Jakarta Timur,-6.2275704,106.9240442
Buaran Sakti,Jakarta Timur,-6.2185217,106.9184147
Bukit Indah,Jakarta Selatan,-6.3101167,106.8098878
Bukit Mas,Jakarta Selatan,-6.20026245,106.751200025293
Bukit Permai,Jakarta Timur,-6.216989,106.8606806
Bukit Pratama,Jakarta Selatan,-6.2950577,106.7682085
Bulak Ringin,Jakarta Timur,-6.3500651,106.8728334
Bulog,Jakarta Timur,-6.1885375,106.8793901
Bumi Cengkareng Indah,Jakarta Barat,-6.1391499,106.7357644
Bumi Karang Indah,Jakarta Selatan,-6.3062625,106.7820744
Bumi Malaka Asri,Jakarta Timur,-6.21749825,106.925250540327
Buncit Indah,Jakarta Selatan,-6.2743315,106.8302814
Buncit Persada,Jakarta Selatan,-6.2659578,106.829271
Bunga Cempaka,Jakarta Selatan,-6.2686959,106.8072405
Bungur,Jakarta Pusat,-6.1716937,106.848103410893
Buni Residence,Jakarta Timur,-6.3442105,106.8957225
Cakra Residence,Jakarta Timur,-6.2316676,106.8881095
Camar Indah,Jakarta Utara,-6.1264182,106.756667
Carina Sayang,Jakarta Barat,-6.16537865,106.744944953737
Carina Sayang,Jakarta Utara,-6.1282522,106.7931918
Carina Sayang Ii,Jakarta Utara,-6.1287524,106.7936109
Casa Andara,Jakarta Selatan,-6.3139096,106.8037096
Casa Goya Park Residence,Jakarta Barat,-6.1992421,106.7808101
Casa Kemang,Jakarta Selatan,-6.26471395,106.81335066783
Casa Pepaya,Jakarta Selatan,-6.3205877,106.8172896
Casa Royal Town House,Jakarta Selatan,-6.2718292,106.8067632
